,district_code,avg_english_sat,avg_math_sat,avg_sat_total,avg_teacher_salary,expenditure_per_pupil,grad_rate,percent_enrolled_asian,percent_enrolled_black,percent_enrolled_female,percent_enrolled_latino,percent_enrolled_male,percent_enrolled_multiracial,percent_enrolled_other,percent_enrolled_white,state
237,8710000,531.0,516.0,1047.0,105546.0,24679.92,97.5,0.9,1.1,39.0,6.5,60.7,1.7,0.30000000000000004,89.5,MA
238,2710000,603.0,620.0,1223.0,87977.0,15200.15,97.6,33.6,3.4,49.8,9.5,50.2,4.6,0.6,48.2,MA
239,7600000,566.0,562.0,1128.0,92689.0,18364.65,97.4,0.8,1.3,47.3,3.3,52.5,1.2,0.4,93.0,MA
240,4740000,538.0,573.0,1111.0,56491.0,17947.98,86.7,2.0,9.1,47.4,24.0,51.7,3.1,0.6,61.1,MA
241,7630000,573.0,566.0,1139.0,73506.0,17168.99,93.9,1.0,1.3,50.2,5.3,49.7,1.3,0.30000000000000004,90.8,MA
242,2740000,571.0,558.0,1129.0,96677.0,22729.93,87.7,5.7,9.2,47.4,40.9,52.4,4.6,0.30000000000000004,39.2,MA
243,2780000,558.0,552.0,1110.0,75637.0,16069.8,96.5,1.8,1.5,49.9,17.0,50.1,2.6,0.1,77.0,MA
244,8290000,533.0,509.0,1042.0,88764.0,26597.62,89.4,1.6,4.7,42.1,41.4,57.2,3.1,2.1,47.1,MA
245,4880000,518.0,486.0,1004.0,77435.0,18721.63,92.3,7.0,35.9,49.2,6.9,50.4,5.9,0.4,43.9,MA
246,8730000,550.0,529.0,1079.0,88607.0,22165.9,96.1,0.8,2.7,32.7,5.0,67.2,1.2,0.3,89.9,MA
247,2770000,,,,74721.0,19261.52,71.0,1.2,1.9,47.8,64.0,52.2,1.9,0.30000000000000004,30.6,MA
248,8720000,506.0,488.0,994.0,89214.0,19974.35,98.0,1.2,37.4,52.8,14.3,46.9,5.0,0.0,42.1,MA
249,7650000,550.0,512.0,1062.0,73618.0,23341.36,93.8,0.2,0.9,50.6,9.6,49.3,4.3,0.5,84.5,MA
250,8760000,533.0,514.0,1047.0,86032.0,19363.97,98.2,1.0,1.1,42.3,10.7,57.5,3.0,0.1,84.1,MA
251,7660000,550.0,540.0,1090.0,70424.0,17426.11,98.3,1.1,1.5,50.2,5.0,49.7,2.6,0.2,89.6,MA
252,7670000,554.0,519.0,1073.0,72595.0,17400.14,72.1,1.3,2.7,45.6,16.7,54.3,4.0,0.1,75.1,MA
253,2810000,426.0,419.0,845.0,74014.0,18642.14,84.6,2.0,18.2,48.2,68.3,51.8,2.6,0.2,8.7,MA
254,4410000,556.0,541.0,1097.0,67769.0,13675.68,94.6,3.8,28.7,50.8,46.8,49.2,6.1,0.0,14.7,MA
255,2840000,548.0,545.0,1093.0,77040.0,18512.78,92.3,5.5,2.6,49.4,10.7,50.6,4.0,0.3,77.0,MA
256,2850000,556.0,543.0,1099.0,88471.0,18530.25,90.0,6.2,24.9,47.5,15.4,52.5,6.1,0.7,46.7,MA
257,4890000,596.0,577.0,1173.0,75315.0,16561.31,99.0,2.8,2.8,57.7,6.0,42.1,3.1,0.5,84.8,MA
258,2900000,558.0,553.0,1111.0,88901.0,17145.45,91.8,1.5,1.2,48.8,4.1,51.0,4.2,0.1,89.0,MA
259,2910000,590.0,581.0,1171.0,82788.0,18977.66,98.5,3.4,3.9,48.6,13.0,51.2,2.9,0.3,76.4,MA
260,2920000,559.0,529.0,1088.0,75077.0,15361.85,95.3,1.1,1.0,49.6,2.5,50.4,1.6,0.2,93.5,MA
261,7700000,577.0,577.0,1154.0,86087.0,15178.61,92.9,1.3,1.3,47.3,7.6,52.5,3.7,0.30000000000000004,85.8,MA
262,2930000,518.0,505.0,1023.0,88182.0,16239.97,92.5,1.0,20.9,49.2,14.0,50.8,5.9,0.6000000000000001,57.6,MA
263,2950000,546.0,530.0,1076.0,86532.0,19139.45,93.2,4.3,4.2,49.5,7.1,50.3,2.4,0.1,81.8,MA
264,8780000,543.0,532.0,1075.0,93988.0,22170.02,97.4,0.7,1.2,39.5,8.8,59.7,4.7,0.2,84.3,MA
265,7730000,561.0,542.0,1103.0,84556.0,20857.87,87.4,2.2,1.8,48.8,4.1,51.1,1.9,0.30000000000000004,89.6,MA
266,3010000,568.0,577.0,1145.0,87356.0,17755.94,93.3,9.7,4.2,48.1,8.3,51.9,3.9,0.1,73.8,MA
267,8790000,520.0,497.0,1017.0,77532.0,25338.64,99.4,0.8,3.2,40.9,5.1,59.1,7.4,0.7999999999999999,82.7,MA
268,3040000,564.0,547.0,1111.0,78836.0,17581.41,82.6,1.5,1.2,45.9,6.6,54.1,2.8,0.6000000000000001,87.2,MA
269,7750000,581.0,572.0,1153.0,85000.0,15412.34,93.5,2.9,2.7,49.5,7.0,50.5,2.7,0.1,84.5,MA
270,3050000,572.0,557.0,1129.0,85789.0,18491.73,97.1,3.9,2.7,48.9,8.4,51.0,2.9,0.30000000000000004,81.7,MA
271,3070000,562.0,550.0,1112.0,84948.0,17395.59,95.1,7.1,3.7,49.6,7.2,50.3,3.2,0.4,78.4,MA
272,3080000,543.0,534.0,1077.0,93006.0,23607.2,81.0,4.7,8.7,47.3,43.9,52.6,2.6,0.1,40.0,MA
273,3090000,547.0,549.0,1096.0,72900.0,15904.34,77.6,0.3,2.2,49.7,11.1,50.3,4.4,0.6,81.5,MA
274,3100000,576.0,542.0,1118.0,85725.0,19728.99,74.4,0.8,7.4,49.6,9.1,50.3,12.4,1.6,68.7,MA
275,3140000,572.0,575.0,1147.0,87668.0,25550.44,88.0,7.2,4.2,47.8,20.0,52.0,6.2,0.3,62.1,MA
276,3150000,647.0,650.0,1297.0,105651.0,20613.54,98.5,14.9,4.7,50.1,5.2,49.9,6.9,0.2,68.0,MA
277,3160000,540.0,527.0,1067.0,77826.0,17545.84,72.9,1.6,6.9,47.0,35.2,53.0,5.7,0.30000000000000004,50.3,MA
278,3170000,640.0,650.0,1290.0,100778.0,24183.11,95.9,15.8,3.8,51.0,5.8,49.0,7.6,0.0,67.1,MA
279,3220000,562.0,534.0,1096.0,79267.0,18281.63,96.4,2.5,2.8,50.3,11.4,49.7,3.9,0.30000000000000004,79.1,MA
280,3230000,570.0,553.0,1123.0,81135.0,14595.33,96.1,0.7,6.5,49.3,6.9,50.7,4.9,0.30000000000000004,80.6,MA
281,3320000,569.0,549.0,1118.0,75225.0,16081.37,90.6,8.7,3.8,48.8,21.7,51.2,4.3,0.2,61.4,MA
282,3210000,631.0,641.0,1272.0,80888.0,18296.72,94.6,35.9,2.7,50.0,8.5,49.9,3.4,0.30000000000000004,49.1,MA
283,3250000,561.0,549.0,1110.0,75107.0,16630.53,90.0,3.0,2.2,48.3,18.8,51.7,3.8,0.1,72.1,MA
284,3260000,613.0,621.0,1234.0,93549.0,16256.4,97.0,30.1,1.3,49.6,2.8,50.3,4.2,0.2,61.3,MA
285,3300000,639.0,658.0,1297.0,110901.0,30295.95,95.2,17.7,6.4,49.2,6.9,50.7,6.4,0.2,62.5,MA
286,3310000,550.0,538.0,1088.0,81636.0,17050.64,89.3,0.8,0.8,48.5,4.9,51.3,3.4,0.1,90.0,MA
287,3350000,598.0,607.0,1205.0,99445.0,20499.76,98.8,12.4,2.1,47.8,5.2,52.1,5.1,0.1,75.1,MA
288,3360000,549.0,535.0,1084.0,95490.0,18306.98,88.3,6.7,7.8,48.9,12.6,51.0,5.1,0.30000000000000004,67.4,MA
289,7800000,544.0,524.0,1068.0,89567.0,15774.38,88.4,1.7,3.7,48.3,6.8,51.7,3.3,0.5,84.1,MA
290,8850000,530.0,525.0,1055.0,95654.0,21641.88,98.3,1.4,3.0,46.6,25.5,53.0,3.9,0.6,65.6,MA
291,3420000,578.0,568.0,1146.0,87160.0,22094.76,93.5,5.7,1.3,48.4,5.3,51.5,4.1,0.1,83.4,MA
292,3430000,475.0,459.0,934.0,83522.0,16066.88,76.4,1.5,2.0,45.6,8.0,54.3,3.7,0.4,84.4,MA
293,3440000,638.0,651.0,1289.0,89442.0,16817.9,93.8,19.3,1.1,49.8,3.5,50.1,6.9,0.1,69.2,MA
294,3460000,554.0,555.0,1109.0,76884.0,16354.38,91.5,0.5,1.5,50.3,15.9,49.7,1.3,0.2,80.6,MA
295,3470000,541.0,530.0,1071.0,89168.0,20497.87,93.1,7.4,7.5,50.3,12.2,49.6,3.5,1.5,68.0,MA
296,3480000,453.0,443.0,896.0,93339.0,17315.9,87.7,6.0,16.9,48.9,44.7,51.1,4.3,0.2,27.9,MA
297,0,558.0,553.0,1111.0,86118.0,19062.2,90.1,7.2,9.3,48.6,23.1,51.3,4.3,0.30000000000000004,55.7,MA
